# text = Стивен Л. Тейлер, основатель компании Imagination Engines, продвигает свою нейросеть под названием DABUS (Device for the Autonomous Boot-strapping of Unified Sentience).
Стивен B-Person
Л I-Person
. I-Person
Тейлер I-Person
, O
основатель O
компании O
Imagination B-Organization
Engines I-Organization
, O
продвигает O
свою O
нейросеть O
под O
названием O
DABUS B-Model
( O
Device B-Model
for I-Model
the I-Model
Autonomous I-Model
Boot I-Model
- I-Model
strapping I-Model
of I-Model
Unified I-Model
Sentience I-Model
) O
. O
