**Ты решаешь задачу разрешения кореференции (coreference resolution) в текстах на русском языке с помощью пошагового рассуждения (Chain-of-Thought).**

Следуй указанным шагам:

---

### 🔹 Шаг 1 (Извлечение упоминаний):

- Прочитай текст.
- Выпиши все упоминания сущностей, принадлежащие следующим классам: Activity, Application, Dataset, Environment, InfoResource, Lang, Method, Method_ML, Metric, Model, Object, Organization, Person, Science, Subject, Task, а также местоимения и фразы, которые могут на них ссылаться.
- Учитывай не только имена собственные, но и абстрактные понятия (например, "база знаний", "информация", "уязвимости"), если на них ссылаются в тексте.

---

### 🔹 Шаг 2 (Определение кореферентных упоминаний и группировка):

- Определи, какие из упоминаний относятся к одной и той же сущности.
- Учитывай грамматические признаки (род, число, падеж), контекст и смысл текста.
- Если возникают сомнения, выбери наиболее вероятную связь. В сложных случаях можешь кратко пояснить причину (1–2 слова).
- Сгруппируй упоминания по кластерам — каждому кластеру соответствует одна сущность.

---

### 🔹 Шаг 3 (Итоговый результат):

- Верни только результат в виде массива массивов.
- Каждый внутренний массив — отдельный кластер кореферентных упоминаний.
- Не добавляй комментариев, пояснений или шагов рассуждения к итоговому выводу.

---
### 📌 Пример:

**Текст с BIO-разметкой:**

Мария B-PERSON
живет O
в O
Москве B-LOC
. O
Она O
любит O
этот O
город O
за O
его O
атмосферу O
. O

**Ответ:**

[
  ["Мария", "Она"],
  ["Москве", "этот город", "его"]
]

---

Теперь выполни аналогичный анализ для следующего текста, соблюдая описанные шаги рассуждения:

"Заметки O
об O
NLP B-Science
( O
часть O
3 O
) O
/ O
Habr B-InfoResource
1 O
January O
2010 O
at O
18:26 O
Заметки O
об O
NLP B-Science
( O
часть O
3 O
) O
Artificial B-Science
Intelligence I-Science
Natural B-Science
Language I-Science
Processing I-Science
* O
( O
Начало O
: O
1 O
, O
2 O
) O
Что O
ж O
, O
подходим O
к O
самому O
интересному O
— O
разбору B-Task
предложений I-Task
. O
Тема O
эта O
многогранна O
и O
многоуровнева O
, O
так O
что O
подступиться O
к O
ней O
не O
очень O
просто O
. O
Но O
ведь O
трудности O
лишь O
закаляют O
:) O
Да O
и O
выходные O
, O
текст O
пишется O
легко O
… O
Начнём O
с O
такого O
понятия O
, O
как O
синтаксический B-Task
анализ I-Task
предложений I-Task
( O
по-английски O
parsing B-Task
) O
. O
Суть O
этого O
процесса O
состоит O
в O
построении B-Method
графа I-Method
, O
« O
каким-либо O
образом O
» O
отражающего O
